timestamp	spiral_iter	ralph_iter	story_id	story_title	status	duration_sec	model	retry_num	commit_sha	run_id	cache_hit	cache_read_tokens	cache_creation_tokens	review_tokens	wall_seconds	user_cpu_s	sys_cpu_s	peak_rss_kb	batch_id	decompose_secs	impl_secs	verify_secs	retry_escalation_count	failure_root_cause	failed_files
2026-03-22T17:49:01Z	13	1	US-043	Add intent classification confidence metrics and per-profile baselines	reject	479	haiku	1		69c017554599	false	0	0	0	0	0	0	0		0	0	0	0		
2026-03-22T18:06:37Z	14	1	US-044	Implement profile data schema validator to prevent future cross-profile contamination	reject	518	haiku	1		69c017554599	false	0	0	0	0	0	0	0		0	0	0	0		
2026-03-22T18:11:06Z	12	1	US-048	Add past-date check-in validation with alternative date suggestions	reject	334	haiku	1		69c018ad425	false	0	0	0	0	0	0	0		0	0	0	0		
2026-03-22T18:24:09Z	13	1	US-053	Add intent keyword variants for Malaysian English and common local hospitality terms	reject	419	haiku	1		69c018ad425	false	0	0	0	0	0	0	0		0	0	0	0		
2026-03-22T18:45:38Z	17	2	US-055	Add dead-letter queue admin endpoint with manual message retry capability	reject	297	haiku	1		69c017554599	false	0	0	0	0	0	0	0		0	0	0	0	unknown	
2026-03-22T19:49:02Z	3	2	US-063	Implement conversation quality scoring system with per-intent accuracy tracking	reject	400	sonnet	1		69c040202db3	false	0	0	0	0	0	0	0		0	0	0	0	unknown	
2026-03-22T19:59:19Z	20	1	US-064	Implement booking modification workflow for guest-initiated date and room-type changes	reject	805	haiku	1		69c018ad425	false	0	0	0	0	0	0	0		0	0	0	0		
2026-03-22T20:08:29Z	4	1	US-068	Add pre-confirmation booking business rule validator with actionable conflict warnings	reject	678	haiku	1		69c040202db3	false	0	0	0	0	0	0	0		0	0	0	0		
2026-03-22T20:23:41Z	21	1	US-072	Add booking cancellation workflow with automatic guest credit calculation	reject	457	haiku	1		69c018ad425	false	0	0	0	0	0	0	0		0	0	0	0		
2026-03-22T20:25:40Z	5	1	US-072	Add booking cancellation workflow with automatic guest credit calculation	reject	520	haiku	2		69c040202db3	false	0	0	0	0	0	0	0		0	0	0	0		
